"Sol.Rad..W.sq.m._sum_daily","Date","NA_count_hourly_daylight","TMIN","TMAX","Year"
8010,1992-05-24,0,14.8,32.7,"1992"
7445,1992-05-25,0,13.9,31,"1992"
7790,1992-05-26,0,16.1,32.8,"1992"
7583,1992-05-27,0,17.7,34.6,"1992"
7719,1992-05-28,0,14.6,32.9,"1992"
7999,1992-05-29,0,14.7,34.3,"1992"
8114,1992-05-30,0,15.7,34.9,"1992"
8087,1992-05-31,0,17.7,35.8,"1992"
7975,1992-06-01,0,16.5,34.9,"1992"
8063,1992-06-02,0,17,37,"1992"
8062,1992-06-03,0,18.4,36.2,"1992"
8091,1992-06-04,0,15.9,37.2,"1992"
7085,1992-06-05,0,16.1,34.6,"1992"
7792,1992-06-06,0,13.8,27.8,"1992"
8010,1992-06-07,0,14.5,29.6,"1992"
8042,1992-06-08,0,14.5,31.6,"1992"
8165,1992-06-09,0,14.3,31,"1992"
6712,1992-06-10,0,14.4,28.3,"1992"
8223,1992-06-11,0,12,25,"1992"
7435,1992-06-12,0,11.3,22.3,"1992"
7295,1992-06-13,0,8.7,23.3,"1992"
8202,1992-06-14,0,8,25.6,"1992"
6531,1992-06-15,0,13,22.7,"1992"
8261,1992-06-16,0,11.4,27.2,"1992"
7613,1992-06-17,0,14.6,30,"1992"
6957,1992-06-18,0,16.5,31.1,"1992"
8263,1992-06-19,0,17.2,35.1,"1992"
8323,1992-06-20,0,16.9,39.4,"1992"
8344,1992-06-21,0,18.2,41.5,"1992"
8033,1992-06-22,0,16.9,32.4,"1992"
6901,1992-06-23,0,18.6,34.9,"1992"
7505,1992-06-24,0,19.9,32.7,"1992"
8049,1992-06-25,0,16.9,31.4,"1992"
8180,1992-06-26,0,15.9,29.6,"1992"
7605,1992-06-27,0,16.3,29.4,"1992"
4441,1992-06-28,0,15.2,24.3,"1992"
3654,1992-06-29,0,15.9,21.6,"1992"
7237,1992-06-30,0,14.6,24.5,"1992"
8361,1992-07-01,0,12.4,29.4,"1992"
8277,1992-07-02,0,15.1,31.2,"1992"
6944,1992-07-03,0,17.9,30.9,"1992"
7443,1992-07-04,0,14.6,27,"1992"
8289,1992-07-05,0,14.7,29.3,"1992"
8106,1992-07-06,0,15.7,30.2,"1992"
8403,1992-07-07,0,11.4,33.3,"1992"
8357,1992-07-08,0,12.1,35.1,"1992"
8384,1992-07-09,0,15.1,35.8,"1992"
8153,1992-07-10,0,20.6,35.3,"1992"
6669,1992-07-11,0,18,30,"1992"
6946,1992-07-12,0,15.4,29.3,"1992"
7896,1992-07-13,0,16.5,33.6,"1992"
7886,1992-07-14,0,20,35.3,"1992"
7960,1992-07-15,0,18.6,35,"1992"
7902,1992-07-16,0,18.7,36.2,"1992"
7971,1992-07-17,0,19,35.3,"1992"
8029,1992-07-18,0,15.9,32.8,"1992"
8185,1992-07-19,0,17,33.6,"1992"
7808,1992-07-20,0,15.5,31.3,"1992"
7978,1992-07-21,0,16.7,32.9,"1992"
7937,1992-07-22,0,16,30.5,"1992"
7991,1992-07-23,0,14.3,32.7,"1992"
7903,1992-07-24,0,16.3,33.7,"1992"
7809,1992-07-25,0,16.7,34.2,"1992"
7912,1992-07-26,0,15,35.4,"1992"
7844,1992-07-27,0,15.5,37.7,"1992"
7765,1992-07-28,0,17,37.4,"1992"
7751,1992-07-29,0,15.7,35.3,"1992"
7953,1992-07-30,0,14.4,32.7,"1992"
7932,1992-07-31,0,10.6,32.7,"1992"
7886,1992-08-01,0,12.5,35,"1992"
7860,1992-08-02,0,14.8,36.2,"1992"
7903,1992-08-03,0,15.3,35.1,"1992"
7698,1992-08-04,0,14,34.2,"1992"
7531,1992-08-05,0,12.2,32.9,"1992"
6986,1992-08-06,0,13.9,32.2,"1992"
7253,1992-08-07,0,17.7,32.2,"1992"
7386,1992-08-08,0,16.9,31.4,"1992"
7483,1992-08-09,0,13.5,36,"1992"
7081,1992-08-10,0,16.5,37.9,"1992"
7103,1992-08-11,0,17.3,39.9,"1992"
7066,1992-08-12,0,22.1,37,"1992"
7203,1992-08-13,0,16.9,36.8,"1992"
6649,1992-08-14,0,17,37.6,"1992"
6575,1992-08-15,0,20.5,38.2,"1992"
7277,1992-08-16,0,21.5,40.3,"1992"
7414,1992-08-17,0,15.8,38.9,"1992"
7373,1992-08-18,0,13.9,38.1,"1992"
7052,1992-08-19,0,15.7,39.6,"1992"
7036,1992-08-20,0,17.9,38,"1992"
7349,1992-08-21,0,17.6,32,"1992"
6472,1992-08-22,0,10.6,28.7,"1992"
7033,1992-08-23,0,15.5,32.6,"1992"
