"date","AOT_at_500nm","filename"
NA,NA,NA
2000-02-24,NA,"MOD09CMA.A2000055.006.2015135234509.hdf"
2000-02-25,363000,"MOD09CMA.A2000056.006.2015136004037.hdf"
2000-02-28,NA,"MOD09CMA.A2000059.006.2015136003104.hdf"
2000-03-02,NA,"MOD09CMA.A2000062.006.2015136032115.hdf"
2000-02-27,NA,"MOD09CMA.A2000058.006.2015136001324.hdf"
2000-03-01,NA,"MOD09CMA.A2000061.006.2015136015051.hdf"
2000-02-29,NA,"MOD09CMA.A2000060.006.2015136014814.hdf"
2000-02-26,NA,"MOD09CMA.A2000057.006.2015136004315.hdf"
2000-03-03,21000,"MOD09CMA.A2000063.006.2015136031921.hdf"
2000-03-07,NA,"MOD09CMA.A2000067.006.2015136014029.hdf"
2000-03-04,NA,"MOD09CMA.A2000064.006.2015136015110.hdf"
2000-03-09,NA,"MOD09CMA.A2000069.006.2015136032923.hdf"
2000-03-06,NA,"MOD09CMA.A2000066.006.2015136020037.hdf"
2000-03-05,NA,"MOD09CMA.A2000065.006.2015136014928.hdf"
2000-03-10,NA,"MOD09CMA.A2000070.006.2015136035525.hdf"
2000-03-08,NA,"MOD09CMA.A2000068.006.2015136020318.hdf"
2000-03-15,NA,"MOD09CMA.A2000075.006.2015136011441.hdf"
2000-03-11,NA,"MOD09CMA.A2000071.006.2015136052916.hdf"
2000-03-12,31000,"MOD09CMA.A2000072.006.2015136051935.hdf"
2000-03-16,NA,"MOD09CMA.A2000076.006.2015136011236.hdf"
2000-03-14,130000,"MOD09CMA.A2000074.006.2015136012217.hdf"
2000-03-17,64000,"MOD09CMA.A2000077.006.2015136011532.hdf"
2000-03-13,134000,"MOD09CMA.A2000073.006.2015136024519.hdf"
2000-03-18,52000,"MOD09CMA.A2000078.006.2015136011951.hdf"
2000-03-23,NA,"MOD09CMA.A2000083.006.2015136012707.hdf"
2000-03-19,NA,"MOD09CMA.A2000079.006.2015136012256.hdf"
2000-03-20,NA,"MOD09CMA.A2000080.006.2015136011930.hdf"
2000-03-24,NA,"MOD09CMA.A2000084.006.2015136012954.hdf"
2000-03-22,140000,"MOD09CMA.A2000082.006.2015136001623.hdf"
2000-03-25,NA,"MOD09CMA.A2000085.006.2015136013935.hdf"
2000-03-21,21000,"MOD09CMA.A2000081.006.2015136011956.hdf"
2000-03-26,55000,"MOD09CMA.A2000086.006.2015136042427.hdf"
2000-04-01,NA,"MOD09CMA.A2000092.006.2015136020728.hdf"
2000-03-27,NA,"MOD09CMA.A2000087.006.2015136071631.hdf"
2000-03-28,83000,"MOD09CMA.A2000088.006.2015136074037.hdf"
2000-03-31,82000,"MOD09CMA.A2000091.006.2015135230925.hdf"
2000-03-30,31000,"MOD09CMA.A2000090.006.2015136002911.hdf"
2000-03-29,68000,"MOD09CMA.A2000089.006.2015136075659.hdf"
2000-04-02,30000,"MOD09CMA.A2000093.006.2015136031032.hdf"
2000-04-03,59000,"MOD09CMA.A2000094.006.2015136035954.hdf"
2000-04-09,76000,"MOD09CMA.A2000100.006.2015136010240.hdf"
2000-04-04,45000,"MOD09CMA.A2000095.006.2015136021012.hdf"
2000-04-05,61000,"MOD09CMA.A2000096.006.2015136021058.hdf"
2000-04-08,144000,"MOD09CMA.A2000099.006.2015135232607.hdf"
2000-04-07,74000,"MOD09CMA.A2000098.006.2015136010820.hdf"
2000-04-06,58000,"MOD09CMA.A2000097.006.2015136020841.hdf"
2000-04-10,NA,"MOD09CMA.A2000101.006.2015136010853.hdf"
2000-04-11,NA,"MOD09CMA.A2000102.006.2015136075600.hdf"
2000-04-13,NA,"MOD09CMA.A2000104.006.2015136071144.hdf"
2000-04-12,NA,"MOD09CMA.A2000103.006.2015136075819.hdf"
2000-04-17,NA,"MOD09CMA.A2000108.006.2015136003538.hdf"
2000-04-16,NA,"MOD09CMA.A2000107.006.2015136005532.hdf"
2000-04-15,NA,"MOD09CMA.A2000106.006.2015136002543.hdf"
2000-04-14,NA,"MOD09CMA.A2000105.006.2015136071004.hdf"
2000-04-18,NA,"MOD09CMA.A2000109.006.2015136014821.hdf"
2000-04-26,NA,"MOD09CMA.A2000117.006.2015136020946.hdf"
2000-04-25,NA,"MOD09CMA.A2000116.006.2015136014908.hdf"
2000-04-19,NA,"MOD09CMA.A2000110.006.2015136034007.hdf"
2000-04-27,NA,"MOD09CMA.A2000118.006.2015136013955.hdf"
2000-04-21,NA,"MOD09CMA.A2000112.006.2015136033742.hdf"
2000-04-20,80000,"MOD09CMA.A2000111.006.2015136033914.hdf"
2000-04-28,NA,"MOD09CMA.A2000119.006.2015136070127.hdf"
2000-04-23,81000,"MOD09CMA.A2000114.006.2015136005632.hdf"
2000-04-24,222000,"MOD09CMA.A2000115.006.2015136004546.hdf"
2000-04-22,NA,"MOD09CMA.A2000113.006.2015136031227.hdf"
2000-05-03,NA,"MOD09CMA.A2000124.006.2015137044010.hdf"
2000-05-04,392000,"MOD09CMA.A2000125.006.2015137055040.hdf"
2000-05-05,NA,"MOD09CMA.A2000126.006.2015137064807.hdf"
2000-04-29,35000,"MOD09CMA.A2000120.006.2015136194215.hdf"
2000-05-06,NA,"MOD09CMA.A2000127.006.2015137062209.hdf"
2000-05-02,74000,"MOD09CMA.A2000123.006.2015136234029.hdf"
2000-04-30,NA,"MOD09CMA.A2000121.006.2015136225614.hdf"
2000-05-11,63000,"MOD09CMA.A2000132.006.2015137021529.hdf"
2000-05-01,333000,"MOD09CMA.A2000122.006.2015136232312.hdf"
2000-05-12,NA,"MOD09CMA.A2000133.006.2015137031651.hdf"
2000-05-13,NA,"MOD09CMA.A2000134.006.2015137060132.hdf"
2000-05-07,NA,"MOD09CMA.A2000128.006.2015137062224.hdf"
2000-05-14,NA,"MOD09CMA.A2000135.006.2015137082249.hdf"
2000-05-08,491000,"MOD09CMA.A2000129.006.2015137035550.hdf"
2000-05-10,72000,"MOD09CMA.A2000131.006.2015137005126.hdf"
2000-05-20,93000,"MOD09CMA.A2000141.006.2015137042143.hdf"
2000-05-19,63000,"MOD09CMA.A2000140.006.2015137032630.hdf"
2000-05-09,125000,"MOD09CMA.A2000130.006.2015137001758.hdf"
2000-05-15,NA,"MOD09CMA.A2000136.006.2015137083429.hdf"
2000-05-21,72000,"MOD09CMA.A2000142.006.2015137042352.hdf"
2000-05-22,116000,"MOD09CMA.A2000143.006.2015137053400.hdf"
2000-05-18,96000,"MOD09CMA.A2000139.006.2015137014556.hdf"
2000-05-16,NA,"MOD09CMA.A2000137.006.2015137083732.hdf"
2000-05-29,148000,"MOD09CMA.A2000150.006.2015137024833.hdf"
2000-05-17,83000,"MOD09CMA.A2000138.006.2015136234901.hdf"
2000-05-27,66000,"MOD09CMA.A2000148.006.2015137030432.hdf"
2000-05-28,NA,"MOD09CMA.A2000149.006.2015137033403.hdf"
2000-05-23,57000,"MOD09CMA.A2000144.006.2015137062141.hdf"
2000-05-30,61000,"MOD09CMA.A2000151.006.2015137063633.hdf"
2000-05-26,45000,"MOD09CMA.A2000147.006.2015137004822.hdf"
2000-05-24,NA,"MOD09CMA.A2000145.006.2015137062106.hdf"
2000-06-04,62000,"MOD09CMA.A2000156.006.2015137040145.hdf"
2000-05-25,137000,"MOD09CMA.A2000146.006.2015137014745.hdf"
2000-06-06,58000,"MOD09CMA.A2000158.006.2015137072921.hdf"
2000-06-05,116000,"MOD09CMA.A2000157.006.2015137064722.hdf"
2000-05-31,68000,"MOD09CMA.A2000152.006.2015137132804.hdf"
2000-06-07,135000,"MOD09CMA.A2000159.006.2015137074804.hdf"
2000-06-03,NA,"MOD09CMA.A2000155.006.2015137010019.hdf"
2000-06-12,152000,"MOD09CMA.A2000164.006.2015137023317.hdf"
2000-06-14,92000,"MOD09CMA.A2000166.006.2015137054351.hdf"
2000-06-01,NA,"MOD09CMA.A2000153.006.2015137133121.hdf"
2000-06-13,NA,"MOD09CMA.A2000165.006.2015137045715.hdf"
2000-06-02,74000,"MOD09CMA.A2000154.006.2015137005645.hdf"
2000-06-08,NA,"MOD09CMA.A2000160.006.2015137091359.hdf"
2000-06-15,NA,"MOD09CMA.A2000167.006.2015137053934.hdf"
2000-06-11,NA,"MOD09CMA.A2000163.006.2015137014819.hdf"
2000-06-20,NA,"MOD09CMA.A2000172.006.2015137043305.hdf"
2000-06-22,NA,"MOD09CMA.A2000174.006.2015137080207.hdf"
2000-06-10,141000,"MOD09CMA.A2000162.006.2015137012737.hdf"
2000-06-09,234000,"MOD09CMA.A2000161.006.2015137085455.hdf"
2000-06-21,NA,"MOD09CMA.A2000173.006.2015137043420.hdf"
2000-06-16,NA,"MOD09CMA.A2000168.006.2015137062242.hdf"
2000-06-23,154000,"MOD09CMA.A2000175.006.2015137080325.hdf"
2000-06-30,122000,"MOD09CMA.A2000182.006.2015137073227.hdf"
2000-06-19,76000,"MOD09CMA.A2000171.006.2015137015446.hdf"
2000-06-29,NA,"MOD09CMA.A2000181.006.2015137075755.hdf"
2000-06-28,113000,"MOD09CMA.A2000180.006.2015137052946.hdf"
2000-06-17,61000,"MOD09CMA.A2000169.006.2015137062818.hdf"
2000-06-27,NA,"MOD09CMA.A2000179.006.2015137021136.hdf"
2000-06-18,173000,"MOD09CMA.A2000170.006.2015137011642.hdf"
2000-06-24,58000,"MOD09CMA.A2000176.006.2015137072733.hdf"
2000-07-01,68000,"MOD09CMA.A2000183.006.2015137061221.hdf"
2000-07-08,54000,"MOD09CMA.A2000190.006.2015138074317.hdf"
2000-07-07,NA,"MOD09CMA.A2000189.006.2015138055546.hdf"
2000-07-06,64000,"MOD09CMA.A2000188.006.2015138060214.hdf"
2000-06-25,122000,"MOD09CMA.A2000177.006.2015137073231.hdf"
2000-07-05,107000,"MOD09CMA.A2000187.006.2015138002826.hdf"
2000-06-26,62000,"MOD09CMA.A2000178.006.2015137021516.hdf"
2000-07-02,266000,"MOD09CMA.A2000184.006.2015137214848.hdf"
2000-07-09,75000,"MOD09CMA.A2000191.006.2015138074919.hdf"
2000-07-16,NA,"MOD09CMA.A2000198.006.2015138075241.hdf"
2000-07-15,NA,"MOD09CMA.A2000197.006.2015138043922.hdf"
2000-07-03,113000,"MOD09CMA.A2000185.006.2015137230244.hdf"
2000-07-14,37000,"MOD09CMA.A2000196.006.2015138034338.hdf"
2000-07-13,89000,"MOD09CMA.A2000195.006.2015138021130.hdf"
2000-07-04,150000,"MOD09CMA.A2000186.006.2015138002630.hdf"
2000-07-17,NA,"MOD09CMA.A2000199.006.2015138091153.hdf"
2000-07-10,64000,"MOD09CMA.A2000192.006.2015138055354.hdf"
2000-07-24,NA,"MOD09CMA.A2000206.006.2015138075949.hdf"
2000-07-23,31000,"MOD09CMA.A2000205.006.2015138061453.hdf"
2000-07-11,125000,"MOD09CMA.A2000193.006.2015138055735.hdf"
2000-07-21,39000,"MOD09CMA.A2000203.006.2015138005400.hdf"
2000-07-22,53000,"MOD09CMA.A2000204.006.2015138062244.hdf"
2000-07-18,82000,"MOD09CMA.A2000200.006.2015138091613.hdf"
2000-07-12,57000,"MOD09CMA.A2000194.006.2015138004940.hdf"
2000-07-25,108000,"MOD09CMA.A2000207.006.2015138091842.hdf"
2000-08-01,348000,"MOD09CMA.A2000214.006.2015138062453.hdf"
2000-07-31,NA,"MOD09CMA.A2000213.006.2015138062325.hdf"
2000-07-19,57000,"MOD09CMA.A2000201.006.2015138075914.hdf"
2000-07-29,53000,"MOD09CMA.A2000211.006.2015138045436.hdf"
2000-07-26,42000,"MOD09CMA.A2000208.006.2015138092222.hdf"
2000-07-30,97000,"MOD09CMA.A2000212.006.2015138062024.hdf"
2000-07-20,53000,"MOD09CMA.A2000202.006.2015138005323.hdf"
2000-08-02,NA,"MOD09CMA.A2000215.006.2015138065318.hdf"
2000-08-25,48000,"MOD09CMA.A2000238.006.2015138081955.hdf"
2000-08-24,38000,"MOD09CMA.A2000237.006.2015138080413.hdf"
2000-08-18,NA,"MOD09CMA.A2000231.006.2015138045205.hdf"
2000-07-27,65000,"MOD09CMA.A2000209.006.2015138092626.hdf"
2000-08-22,99000,"MOD09CMA.A2000235.006.2015138025458.hdf"
2000-08-03,NA,"MOD09CMA.A2000216.006.2015138092754.hdf"
2000-08-23,66000,"MOD09CMA.A2000236.006.2015138051437.hdf"
2000-07-28,43000,"MOD09CMA.A2000210.006.2015138003324.hdf"
2000-09-02,NA,"MOD09CMA.A2000246.006.2015138082829.hdf"
2000-08-26,18000,"MOD09CMA.A2000239.006.2015138063542.hdf"
2000-09-01,NA,"MOD09CMA.A2000245.006.2015138064108.hdf"
2000-08-04,59000,"MOD09CMA.A2000217.006.2015138093640.hdf"
2000-08-31,331000,"MOD09CMA.A2000244.006.2015138051303.hdf"
2000-08-30,NA,"MOD09CMA.A2000243.006.2015138041226.hdf"
2000-08-19,22000,"MOD09CMA.A2000232.006.2015138063126.hdf"
