"year","week_ending","state_name","country_code","location_desc","begin_code","zip_5","county_ansi","state_alpha","util_practice_desc","domain_desc","asd_desc","freq_desc","prodn_practice_desc","end_code","sector_desc","short_desc","country_name","Value","reference_period_desc","CV (%)","class_desc","asd_code","agg_level_desc","county_name","region_desc","watershed_desc","state_ansi","congr_district_code","domaincat_desc","state_fips_code","group_desc","watershed_code","unit_desc","source_desc","load_time","county_code","statisticcat_desc","commodity_desc","avg_emerg","avg_harv"
"1992","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,500","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2012-01-01 00:00:00","","YIELD","RICE",21,40
"1993","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,300","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2012-01-01 00:00:00","","YIELD","RICE",22,40
"1994","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,500","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2012-01-01 00:00:00","","YIELD","RICE",21,39
"1995","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","7,600","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2012-01-01 00:00:00","","YIELD","RICE",22,41
"1996","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","7,490","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2012-01-01 00:00:00","","YIELD","RICE",22,40
"1997","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,250","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2012-01-01 00:00:00","","YIELD","RICE",20,39
"1998","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","6,850","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2012-01-01 00:00:00","","YIELD","RICE",23,41
"1999","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","7,270","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2012-01-01 00:00:00","","YIELD","RICE",20,40
"2000","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","7,940","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2012-01-01 00:00:00","","YIELD","RICE",20,40
"2001","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,170","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2012-01-01 00:00:00","","YIELD","RICE",21,39
