"planted","site","plot","rep","id","dth","lodging","height","grain_type","moisture","year","county","trial_type","yield_lb","head_date","pi","vg_avg_tmin","vg_avg_tmax","fl_avg_tmin","fl_avg_tmax","gf_avg_tmin","gf_avg_tmax","se_avg_tmin","se_avg_tmax","veg_srad","rep_srad","gf_srad","boot_cool","boot_hot","fl_cool","fl_hot","yield_kg"
1995-05-12,"RES",349,1,"CM101",78,15,85,"S",16,1995,"BUTTE","EARLY",8708,1995-07-29,54,12.791882389663,28.1145480642554,15.8541660635702,32.4921078490114,14.8939755037374,33.8873371952822,14.0257592608864,30.6559506325142,78968,36409,49842,-4.9,33.3,-0.699999999999999,6.00000000000001,9752.96
1995-05-12,"RES",374,2,"CM101",78,15,80,"S",15.9,1995,"BUTTE","EARLY",8605,1995-07-29,54,12.791882389663,28.1145480642554,15.8541660635702,32.4921078490114,14.8939755037374,33.8873371952822,14.0257592608864,30.6559506325142,78968,36409,49842,-4.9,33.3,-0.699999999999999,6.00000000000001,9637.6
1995-05-12,"RES",8,1,"M203",87,60,105,"M",23,1995,"BUTTE","VERY EARLY",7332,1995-08-07,54,12.791882389663,28.1145480642554,16.0972875732167,33.3696387123485,13.4928010152676,32.7513238356015,13.8591477522274,30.7605787801721,78968,49218,47679,-16.5,39.4,-14.5,-0.899999999999999,8211.84
1995-05-12,"RES",1096,1,"94Y589",87,10,95,"M",18.7,1995,"BUTTE","INTERMEDIATE/LATE",10240,1995-08-07,54,12.791882389663,28.1145480642554,16.0972875732167,33.3696387123485,13.4928010152676,32.7513238356015,13.8591477522274,30.7605787801721,78968,49218,47679,-16.5,39.4,-14.5,-0.899999999999999,11468.8
1995-05-12,"RES",350,1,"94Y383",86,1,85,"M",19.9,1995,"BUTTE","EARLY",9413,1995-08-06,54,12.791882389663,28.1145480642554,16.1010214099652,33.4002154273928,13.5814630699252,32.7059870808097,13.8731894591745,30.7257912876158,78968,47809,47944,-16.5,39.5,-14.4,-1.6,10542.56
1995-05-12,"RES",378,2,"94Y383",87,1,89,"M",20.4,1995,"BUTTE","EARLY",9784,1995-08-07,54,12.791882389663,28.1145480642554,16.0972875732167,33.3696387123485,13.4928010152676,32.7513238356015,13.8591477522274,30.7605787801721,78968,49218,47679,-16.5,39.4,-14.5,-0.899999999999999,10958.08
1995-05-12,"RES",9,1,"M103",81,10,97,"M",18.9,1995,"BUTTE","VERY EARLY",9229,1995-08-01,54,12.791882389663,28.1145480642554,16.0052519200855,32.992775000239,14.4242067574186,33.5266110474926,13.9647460274199,30.6867272988544,78968,40731,49213,-5.4,36.6,-0.199999999999999,4.40000000000001,10336.48
1995-05-12,"RES",1097,1,"94Y576",101,2,83,"M",23.1,1995,"BUTTE","INTERMEDIATE/LATE",7842,1995-08-21,54,12.791882389663,28.1145480642554,15.5828191868251,33.4258996030376,13.2959840715866,32.5985615743182,13.8497194060619,30.9954785707996,78968,68300,43307,-65.5,36,-12.2,0.100000000000001,8783.04
1995-05-12,"RES",351,1,"S201",93,3,93,"S",20,1995,"BUTTE","EARLY",8861,1995-08-13,54,12.791882389663,28.1145480642554,15.7515070040549,33.378663849613,13.3774175256017,32.6559198112372,13.840651515275,30.8422696876659,78968,57592,45876,-32.1,37.1,-18.3,0.5,9924.32
1995-05-12,"RES",386,2,"S201",93,3,93,"S",20.6,1995,"BUTTE","EARLY",8633,1995-08-13,54,12.791882389663,28.1145480642554,15.7515070040549,33.378663849613,13.3774175256017,32.6559198112372,13.840651515275,30.8422696876659,78968,57592,45876,-32.1,37.1,-18.3,0.5,9668.96
1995-05-12,"RES",10,1,"M201",89,1,97,"M",24.3,1995,"BUTTE","VERY EARLY",10378,1995-08-09,54,12.791882389663,28.1145480642554,16.0500298381721,33.4405357543294,13.3633435028379,32.8189106996995,13.8673885713451,30.8175282717367,78968,52012,47129,-17.5,38.5,-14.5,-0.899999999999999,11623.36
1995-05-12,"RES",1098,1,"M402",100,3,85,"M",20.7,1995,"BUTTE","INTERMEDIATE/LATE",9104,1995-08-20,54,12.791882389663,28.1145480642554,15.5365650770277,33.3744173295529,13.276691321482,32.6508484956953,13.8311685868722,30.9633398122933,78968,66983,43672,-59.8,36.9,-11.1,1.4,10196.48
1995-05-12,"RES",352,1,"94Y591",85,5,97,"M",17.7,1995,"BUTTE","EARLY",8226,1995-08-05,54,12.791882389663,28.1145480642554,16.1365285873456,33.3994322841642,13.7233975216597,32.7450220222976,13.8908367901994,30.7080634190006,78968,46409,48205,-15.1,39.3,-11.6,-0.899999999999999,9213.12
1995-05-12,"RES",377,2,"94Y591",86,5,92,"M",18,1995,"BUTTE","EARLY",9137,1995-08-06,54,12.791882389663,28.1145480642554,16.1010214099652,33.4002154273928,13.5814630699252,32.7059870808097,13.8731894591745,30.7257912876158,78968,47809,47944,-16.5,39.5,-14.4,-1.6,10233.44
